,,,,,,,,,,,khi_宮廷今西,khi_宮廷今西,khi_宮廷今西,khm_宮廷守屋,khm_宮廷守屋,khm_宮廷守屋,hok_S2577,hok_S2577,hok_S2577,kyd_漢書揚雄,kyd_漢書揚雄,kyd_漢書揚雄,kar_開成論語,kar_開成論語,kar_開成論語,kae_開成周易,kae_開成周易,kae_開成周易,tzj_東禅毘婆,tzj_東禅毘婆,tzj_東禅毘婆,hos_斉民要術,hos_斉民要術,hos_斉民要術,nak_華厳孔目,nak_華厳孔目,nak_華厳孔目,jhk_開元神足,jhk_開元神足,jhk_開元神足,ink_岩崎紀24,ink_岩崎紀24,ink_岩崎紀24,nkk_兼方紀2,nkk_兼方紀2,nkk_兼方紀2,kcc_勅版紀2,kcc_勅版紀2,kcc_勅版紀2,wad_和銅250,wad_和銅250,wad_和銅250,doh_金剛大教,doh_金剛大教,doh_金剛大教,tzs_仏説大教,tzs_仏説大教,tzs_仏説大教,kak_開成孝経,kak_開成孝経,kak_開成孝経,sys_S5309,sys_S5309,sys_S5309,tsu_通典巻一,tsu_通典巻一,tsu_通典巻一,hod_法蔵和尚,hod_法蔵和尚,hod_法蔵和尚,gok_光武帝紀,gok_光武帝紀,gok_光武帝紀,k24_寛文紀24,k24_寛文紀24,k24_寛文紀24,kcj_慶長紀2,kcj_慶長紀2,kcj_慶長紀2,kbk_寛文紀2,kbk_寛文紀2,kbk_寛文紀2,sik_華厳新羅,sik_華厳新羅,sik_華厳新羅,skk_古麗華20,skk_古麗華20,skk_古麗華20,kyu_初麗瑜5,kyu_初麗瑜5,kyu_初麗瑜5,ksk_再麗華6,ksk_再麗華6,ksk_再麗華6,wan_和寧花38,wan_和寧花38,wan_和寧花38,kss_華厳信種,kss_華厳信種,kss_華厳信種,kyo_教行信証,kyo_教行信証,kyo_教行信証,smk_西夏法華,smk_西夏法華,smk_西夏法華,jou_P2179,jou_P2179,jou_P2179,keg_S2067,keg_S2067,keg_S2067,dng_S81,dng_S81,dng_S81,mam_P2160,mam_P2160,mam_P2160,drt_P2413,drt_P2413,drt_P2413,kgk_賢劫経二,kgk_賢劫経二,kgk_賢劫経二,myz_P2334,myz_P2334,myz_P2334,kda_京博大品,kda_京博大品,kda_京博大品,sok_華厳守屋,sok_華厳守屋,sok_華厳守屋,yhk_S2423,yhk_S2423,yhk_S2423,nto_図書紀24,nto_図書紀24,nto_図書紀24,nkm_兼右紀24,nkm_兼右紀24,nkm_兼右紀24,okd_金剛小川,okd_金剛小川,okd_金剛小川,kmi_弥勒上生,kmi_弥勒上生,kmi_弥勒上生,zkd_五一続高,zkd_五一続高,zkd_五一続高,jyu_成唯識10,jyu_成唯識10,jyu_成唯識10,fhs_P2195,fhs_P2195,fhs_P2195,khh_宝篋天理,khh_宝篋天理,khh_宝篋天理,kkh_京博金般,kkh_京博金般,kkh_京博金般,ini_鴨脚紀2,ini_鴨脚紀2,ini_鴨脚紀2,sai_最上秘密,sai_最上秘密,sai_最上秘密,kad_春日般若,kad_春日般若,kad_春日般若,ykk_薬師功徳,ykk_薬師功徳,ykk_薬師功徳,saa_正毘170,saa_正毘170,saa_正毘170,sab_正毘178,sab_正毘178,sab_正毘178,wks_和寧花67,wks_和寧花67,wks_和寧花67,wke_和寧花68,wke_和寧花68,wke_和寧花68,sgs_正四分16,sgs_正四分16,sgs_正四分16,sts_正四分20,sts_正四分20,sts_正四分20,kkd_院政大教,kkd_院政大教,kkd_院政大教
見出し文字,異体字,統合ID,大字典,大漢和,部首,JIS文字,JIS包摂,UCS,備考,字体,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,代表字形ID,字体数,代表字形ID,字体数,代表字形ID,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数,代表字形ID,字体数,用例数
一,弌,00001,00001,M00001,001,一,,4E00,,,0215,1,34,0159,1,64,0270,1,27,0001,0,1,0471,1,30,0371,1,63,0087,1,26,0401,1,102,0212,1,291,0230,1,94,0421,1,28,0291,1,65,0372,1,64,0001,1,266,0171,1,326,0363,1,140,0260,1,4,0189,1,55,0423,1,53,0674,1,45,0449,1,19,0415,1,28,0381,1,64,0369,1,64,0125,1,155,0133,1,358,0188,1,62,0121,1,259,0154,1,135,0213,1,78,0189,1,91,0274,1,98,0190,1,23,0212,1,316,0325,1,69,0370,1,33,0161,1,24,0277,1,75,0176,1,45,0091,1,3,0119,1,129,0338,1,93,0407,1,28,0416,1,28,0139,1,74,0210,1,95,0556,1,34,0096,1,82,0206,1,73,0271,1,32,0142,1,50,0376,1,64,0151,1,40,0109,1,95,0329,1,49,0038,1,43,0219,1,29,0250,1,273,0269,1,164,0103,1,24,0101,1,24,0136,1,286
丁,,00002,00002,M00002,001,丁,,4E01,,,,,,,,,,,,,,,,,,,,,,,,0415,1,3,,,,,,,0425,1,13,,,,,,,,,,,,,,,,,,,,,,0432,1,8,,,,0460,1,5,0416,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0411,1,14,0420,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
七,,00004,00004,M00006,001,七,,4E03,,,0218,1,4,,,,0271,1,11,0002,1,2,0472,1,6,0375,1,6,0095,1,22,0408,1,22,0224,1,39,0234,1,9,0423,1,3,0299,1,3,0377,1,3,0008,1,2,,,,,,,,,,0001,0,1,0437,1,15,0677,1,12,0451,1,8,0417,1,3,0385,1,3,0380,1,3,0130,1,2,,,,0187,1,14,,,,0152,1,3,0215,1,9,0191,1,6,0276,1,4,0001,0,1,0225,1,2,0326,1,6,0376,1,4,0162,1,44,0280,1,8,0177,1,8,0095,1,8,0001,0,1,0001,0,1,0409,1,3,0418,1,3,,,,0216,1,11,0564,1,11,0100,1,8,0208,1,8,0265,1,12,0146,1,9,0370,1,3,0155,1,4,0111,1,3,0326,1,12,0039,1,37,0220,1,10,0256,1,6,0001,0,1,,,,,,,,,
丈,,00006,00006,M00011,001,丈,,4E08,,＊,,,,,,,,,,0003,0,1,0473,1,2,0373,1,4,,,,0405,1,3,0211,1,2,0001,0,1,0430,1,3,0294,1,2,,,,,,,,,,,,,,,,,,,0001,0,1,0001,0,1,0457,1,2,0001,0,1,,,,0377,1,2,,,,,,,,,,,,,,,,,,,,,,0001,0,1,,,,,,,0001,0,1,0375,1,2,,,,,,,0178,1,6,,,,,,,,,,1043,1,3,0426,1,3,,,,,,,0003,0,1,,,,0001,0,1,,,,,,,,,,,,,,,,0001,0,1,,,,0001,0,1,,,,0002,0,1,,,,,,,,,
丈,,00006b,00006,M00011,001,丈,,4E08,,＊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三,,00007,00007,M00012,001,三,,4E09,,,0216,1,30,0161,1,42,0267,1,40,0854,1,18,0474,1,63,0384,1,119,0094,1,25,0413,1,61,0218,1,179,0241,1,55,0422,1,23,0302,1,19,0380,1,19,0009,1,6,0178,1,95,0366,1,37,0259,1,5,0191,1,33,0428,1,52,0678,1,40,0450,1,19,0418,1,23,0378,1,19,0375,1,19,0129,1,5,0147,1,23,0185,1,61,0128,1,15,0151,1,37,0216,1,30,0192,1,50,0277,1,42,0194,1,20,0224,1,31,0327,1,41,0371,1,23,0163,1,17,0285,1,92,0179,1,49,0094,1,11,0127,1,3,0340,1,27,0408,1,22,0417,1,23,0146,1,19,0218,1,14,0560,1,11,0103,1,40,0209,1,28,0270,1,15,0152,1,81,0369,1,15,0152,1,9,0108,1,20,0325,1,12,0040,1,131,0221,1,43,0257,1,57,0273,1,56,,,,,,,0142,1,86
上,,00008,00008,M00013,001,上,,4E0A,,,0217,1,19,0156,1,19,0268,1,14,0855,1,22,0476,1,25,0391,1,190,0097,1,21,0407,1,31,0222,1,64,0232,1,10,0426,1,14,0300,1,28,0378,1,28,0010,1,6,0180,1,11,0370,1,17,0256,1,11,0192,1,12,0433,1,32,0676,1,11,0459,1,17,0419,1,14,0377,1,28,0371,1,29,0136,1,67,0143,1,6,0192,1,15,0127,1,19,0150,1,18,0217,1,17,0193,1,30,0278,1,29,0191,1,10,0219,1,29,0328,1,16,0377,1,14,0164,1,26,0281,1,22,0180,1,22,,,,0125,1,35,0341,1,11,0412,1,14,0421,1,14,0140,1,3,0214,1,32,0563,1,6,0098,1,14,0210,1,16,0268,1,5,0151,1,3,0372,1,26,0156,1,4,0107,1,15,0330,1,13,0043,1,20,0222,1,24,0259,1,32,0275,1,8,0104,1,31,0102,1,33,0144,1,2
下,,00009,00009,M00014,001,下,,4E0B,,,0219,1,14,0158,1,10,0265,1,5,0856,1,15,0477,1,39,0388,1,142,0096,1,8,0406,1,37,0225,1,22,0233,1,25,0424,1,8,0301,1,16,0379,1,16,,,,0181,1,12,0368,1,2,0258,1,17,0193,1,5,0434,1,36,0679,1,10,0456,1,42,0420,1,8,0379,1,16,0372,1,16,0132,1,10,,,,,,,0129,1,9,0153,1,6,0218,1,5,0194,1,3,0279,1,2,0193,1,3,0220,1,4,0329,1,8,0378,1,17,0165,1,13,0284,1,7,,,,,,,0126,1,9,0342,1,8,0410,1,8,0419,1,8,0141,1,4,0213,1,6,0557,1,8,0099,1,2,0211,1,7,0267,1,3,0147,1,2,0373,1,12,,,,,,,0324,1,2,0044,1,4,0223,1,9,0260,1,15,0276,1,9,0105,1,3,0103,1,3,0145,1,4
不,,00013,00013,M00019,001,不,,4E0D,,,0221,1,51,0157,1,31,0266,1,35,0857,1,36,0478,1,530,0376,1,482,0091,1,105,0409,1,60,0228,1,299,0238,1,106,0427,1,50,0297,1,73,0375,1,73,0007,1,24,0182,1,18,0367,1,16,0255,1,55,0194,1,106,0425,1,128,0673,1,38,0452,1,59,0421,1,50,0375,1,74,0373,1,72,0131,1,33,0144,1,109,0190,1,77,0133,1,52,0157,1,110,0219,1,90,0195,1,99,0280,1,69,0186,1,165,0221,1,109,0330,1,160,0372,1,54,0166,1,58,0282,1,108,0181,1,33,0093,1,20,0124,1,29,0343,1,157,0413,1,51,0422,1,50,0143,1,156,0215,1,23,0558,1,73,0101,1,100,0212,1,27,0269,1,13,0148,1,120,0374,1,66,0154,1,3,0112,1,429,0327,1,52,0045,1,63,0224,1,80,0261,1,66,0277,1,67,0106,1,169,0104,1,170,0146,1,14
