整理番号	異体1	Unicode1	異体2	Unicode2	異体3	Unicode3	異体4	Unicode4
03473	㑇	3447	㑳	3473				
0361A	㘎	360E	㘚	361A				
0396E	㤘	3918	㥮	396E				
03A73	㧐	39D0	㩳	3A73				
043B1	䎬	43AC	䎱	43B1				
04661	䙌	464C	䙡	4661				
0477C	䞍	478D	䝼	477C				
04947	䦂	4982	䥇	4947				
0499B	䦶	49B6	䦛	499B				
0499F	䦷	49B7	䦟	499F				
04C77	䲣	4CA3	䱷	4C77				
04E58	乗	4E57	乘	4E58				
04E82	乱	4E71	亂	4E82				
04E99	亘	4E98	亙	4E99				
04E9E	亜	4E9C	亞	4E9E	亚	4E9A		
04F5B	仏	4ECF	佛	4F5B				
04F86	来	6765	來	4F86				
04F96	仑	4ED1	侖	4F96				
04FAE	侮	4FAE	侮	FA30				
04FE0	俠	4FE0	侠	4FA0				
04FF1	俱	4FF1	倶	5036				
05000	伥	4F25	倀	5000				
05002	併	4F75	倂	5002				
05006	俩	4FE9	倆	5006				
05009	仓	4ED3	倉	5009				
0500B	个	4E2A	個	500B				
05011	们	4EEC	們	5011				
0502B	伦	4F26	倫	502B				
05047	仮	4EEE	假	5047				
05049	伟	4F1F	偉	5049				
05074	侧	4FA7	側	5074				
05075	侦	4FA6	偵	5075				
05096	伧	4F27	傖	5096				
05098	伞	4F1E	傘	5098				
05099	备	5907	備	5099				
050AD	佣	4F63	傭	50AD				
050B3	伝	4F1D	傳	50B3	传	4F20		
050B4	伛	4F1B	傴	50B4				
050B5	债	503A	債	50B5				
050B7	伤	4F24	傷	50B7				
050BE	倾	503E	傾	50BE				
050C2	偻	507B	僂	50C2				
050C5	仅	4EC5	僅	50C5				
050C9	佥	4F65	僉	50C9				
050D1	侨	4FA8	僑	50D1				
050D5	仆	4EC6	僕	50D5				
050DE	偽	507D	僞	50DE	伪	4F2A		
050E5	侥	4FA5	僥	50E5				
050E7	僧	50E7	僧	FA31				
050E8	偾	507E	僨	50E8				
050F9	価	4FA1	價	50F9	价	4EF7		
05100	仪	4EEA	儀	5100				
05102	侬	4FAC	儂	5102				
05104	亿	4EBF	億	5104				
05108	侩	4FA9	儈	5108				
05109	倹	5039	儉	5109	俭	4FED		
05110	傧	50A7	儐	5110				
05114	俦	4FE6	儔	5114				
05115	侪	4FAA	儕	5115				
05118	儘	5118	侭	4FAD				
0511F	偿	507F	償	511F				
0512A	优	4F18	優	512A				
05132	储	50A8	儲	5132				
